Tier,Company,UTM Source,Outreach Link,Contact Target,Status,Sent Date,Notes
1,SG TAS,tas,https://vitaliy-bli.github.io/botkordon/?utm_source=tas&utm_medium=email&utm_campaign=jul2026,Head of Digital / Head of Product,,,#1 UA non-life insurer
1,ARX,arx,https://vitaliy-bli.github.io/botkordon/?utm_source=arx&utm_medium=email&utm_campaign=jul2026,Head of Digital,,,ex-AXA international backing
1,UNIKA,unika,https://vitaliy-bli.github.io/botkordon/?utm_source=unika&utm_medium=email&utm_campaign=jul2026,Head of Retail,,,Green Card + travel medical
1,VUSO,vuso,https://vitaliy-bli.github.io/botkordon/?utm_source=vuso&utm_medium=email&utm_campaign=jul2026,Head of Marketing,,,Retail insurance
1,INGO Ukraine,ingo,https://vitaliy-bli.github.io/botkordon/?utm_source=ingo&utm_medium=email&utm_campaign=jul2026,Head of Product,,,Big brand auto insurance
1,Universalna,universalna,https://vitaliy-bli.github.io/botkordon/?utm_source=universalna&utm_medium=email&utm_campaign=jul2026,Head of Digital,,,Digital-forward
1,Arsenal Insurance,arsenal,https://vitaliy-bli.github.io/botkordon/?utm_source=arsenal&utm_medium=email&utm_campaign=jul2026,CDO / Head of Innovation,,,Fintech partnerships
1,PZU Ukraine,pzu,https://vitaliy-bli.github.io/botkordon/?utm_source=pzu&utm_medium=email&utm_campaign=jul2026,Head of Digital,,,Polish parent PL fit
2,Visit Ukraine,visitukraine,https://vitaliy-bli.github.io/botkordon/?utm_source=visitukraine&utm_medium=email&utm_campaign=jul2026,Founder / CPO,,,Already sells travel medical online
2,Kyivstar,kyivstar,https://vitaliy-bli.github.io/botkordon/?utm_source=kyivstar&utm_medium=email&utm_campaign=jul2026,VAS / B2C Product Head,,,5G roaming bundles
2,Vodafone UA,vodafone,https://vitaliy-bli.github.io/botkordon/?utm_source=vodafone&utm_medium=email&utm_campaign=jul2026,Head of Digital Services,,,EU roaming Jan 2026
2,lifecell,lifecell,https://vitaliy-bli.github.io/botkordon/?utm_source=lifecell&utm_medium=email&utm_campaign=jul2026,Marketing / Partnerships,,,Smaller, marketing-hungry
2,monobank,monobank,https://vitaliy-bli.github.io/botkordon/?utm_source=monobank&utm_medium=email&utm_campaign=jul2026,Product Manager,,,Retention play for card holders
2,PUMB,pumb,https://vitaliy-bli.github.io/botkordon/?utm_source=pumb&utm_medium=email&utm_campaign=jul2026,Head of Retail Digital,,,Active in retail digital
2,Sense Bank,sense,https://vitaliy-bli.github.io/botkordon/?utm_source=sense&utm_medium=email&utm_campaign=jul2026,Head of Digital,,,Post-rebrand digital push
2,Nova Poshta International,novaposhta,https://vitaliy-bli.github.io/botkordon/?utm_source=novaposhta&utm_medium=email&utm_campaign=jul2026,B2B / Partnerships,,,Cross-border parcel drivers
2,Meest,meest,https://vitaliy-bli.github.io/botkordon/?utm_source=meest&utm_medium=email&utm_campaign=jul2026,Head of Operations,,,New Lviv hub near PL border
